industry,joblocation_address,"	numberofpositions",skills
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,1,Hotels
Legal,Bengaluru/Banglore,1,Accounts
Courier / Transportation / Freight / Warehousing,Bengaluru/Banglore,1,Supply Chain
Telecom/ISP,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,15,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - QA & Testing
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,10,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,50,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Financial Services
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Retail / Wholesale,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
NGO / Social Services / Regulators / Industry Associations,Bengaluru/Banglore,1,HR
Architecture / Interior Design,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,5,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Real Estate / Property,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,Design
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Real Estate / Property,Bengaluru/Banglore,2,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - DBA
Courier / Transportation / Freight / Warehousing,Bengaluru/Banglore,50,Supply Chain
Pharma / Biotech / Clinical Research,Bengaluru/Banglore,30,Medical
IT-Software / Software Services,Bengaluru/Banglore,6,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Network Administration
BPO / Call Centre / ITES,Bengaluru/Banglore,25,ITES
Internet / Ecommerce,Bengaluru/Banglore,5,Sales
KPO / Research / Analytics,Bengaluru/Banglore,2,IT Software - Network Administration
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,Supply Chain
Telecom/ISP,Bengaluru/Banglore,1,IT Software - Network Administration
BPO / Call Centre / ITES,Bengaluru/Banglore,4,HR
Education / Teaching / Training,Bengaluru/Banglore,1,ITES
Industrial Products / Heavy Machinery,Bengaluru/Banglore,1,HR
Banking / Financial Services / Broking,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Education / Teaching / Training,Bengaluru/Banglore,1,Teaching
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Other
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - Application Programming
Education / Teaching / Training,Bengaluru/Banglore,1,Teaching
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,1,Hotels
Education / Teaching / Training,Bengaluru/Banglore,1,Teaching
IT-Software / Software Services,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,HR
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - DBA
BPO / Call Centre / ITES,Bengaluru/Banglore,30,Accounts
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,Supply Chain
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Courier / Transportation / Freight / Warehousing,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - QA & Testing
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,45,IT Software - System Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Telecom/ISP,Bengaluru/Banglore,5,IT Software - Telecom Software
IT-Software / Software Services,Bengaluru/Banglore,5,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,Sales
Office Equipment / Automation,Bengaluru/Banglore,1,Sales
Consumer Electronics / Appliances / Durables,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - DBA
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Client/Server Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Education / Teaching / Training,Bengaluru/Banglore,3,Teaching
BPO / Call Centre / ITES,Bengaluru/Banglore,25,ITES
Real Estate / Property,Bengaluru/Banglore,3,Production
Advertising / PR / MR / Event Management,Bengaluru/Banglore,2,Marketing
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Advertising / PR / MR / Event Management,Bengaluru/Banglore,1,Design
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - Application Programming
Medical / Healthcare / Hospitals,Bengaluru/Banglore,2,Medical
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,1,Travel
Insurance,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,10,IT Software - System Programming
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,Sales
Telecom/ISP,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Financial Services
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Medical / Healthcare / Hospitals,Bengaluru/Banglore,2,Medical
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,30,ITES
Education / Teaching / Training,Bengaluru/Banglore,2,Journalism
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,20,ITES
IT-Software / Software Services,Bengaluru/Banglore,10,IT Software - System Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,2,Accounts
IT-Software / Software Services,Bengaluru/Banglore,1,Design
Internet / Ecommerce,Bengaluru/Banglore,1,IT Software - eCommerce
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,HR
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,3,Hotels
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,Marketing
Telecom/ISP,Bengaluru/Banglore,1,IT Software - Telecom Software
Textiles / Garments / Accessories,Bengaluru/Banglore,2,Production
Internet / Ecommerce,Bengaluru/Banglore,1,Design
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,2,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Iron and Steel,Bengaluru/Banglore,1,Production
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,2,Sales
Automobile / Auto Anciliary / Auto Components,Bengaluru/Banglore,1,Legal
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,10,IT Software - Application Programming
Accounting / Finance,Bengaluru/Banglore,1,Journalism
IT-Software / Software Services,Bengaluru/Banglore,20,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,10,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Other
Strategy / Management Consulting Firms,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Financial Services
NGO / Social Services / Regulators / Industry Associations,Bengaluru/Banglore,1,Teaching
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Embedded
Semiconductors / Electronics,Bengaluru/Banglore,5,Engineering Design
Media / Entertainment / Internet,Bengaluru/Banglore,1,TV
Other,Bengaluru/Banglore,1,Sales
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Retail / Wholesale,Bengaluru/Banglore,1,Accounts
IT-Software / Software Services,Bengaluru/Banglore,20,HR
Real Estate / Property,Bengaluru/Banglore,1,Sales
Retail / Wholesale,Bengaluru/Banglore,5,Sales
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Construction / Engineering / Cement / Metals,Bengaluru/Banglore,2,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Client/Server Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Automobile / Auto Anciliary / Auto Components,Bengaluru/Banglore,1,Accounts
IT-Software / Software Services,Bengaluru/Banglore,1,HR
Internet / Ecommerce,Bengaluru/Banglore,1,Teaching
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - ERP
IT-Software / Software Services,Bengaluru/Banglore,4,HR
Oil and Gas / Energy / Power / Infrastructure,Bengaluru/Banglore,1,Engineering Design
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Construction / Engineering / Cement / Metals,Bengaluru/Banglore,1,Sales
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - Network Administration
Retail / Wholesale,Bengaluru/Banglore,1,Supply Chain
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Banking / Financial Services / Broking,Bengaluru/Banglore,13,Sales
